keyword,canonical_form,cluster_id,freq
Waste management,Waste management,Waste management,696
Material circularity,Material circularity,Material circularity,11
Re-use,Re-use,Re-use,19
Sustainability,Sustainability,Sustainability,1783
Textiles,Textiles,Textiles,18
Hazardous waste,Hazardous waste,Hazardous waste,19
Immobilization,Immobilization,Immobilization,17
One-part geopolymer,One-part geopolymer,One-part geopolymer,2
Valorisation,Valorisation,Valorisation,42
Agricultural residues,Agricultural residues,Agricultural residues,12
Bio-polyisoprene,Bio-polyisoprene,Bio-polyisoprene,1
Biomass productivity,Biomass productivity,Biomass productivity,2
Bioremediation,Bioremediation,Bioremediation,49
Microalgae,Microalgae,Microalgae,138
Water reuse,Water reuse,Water reuse,46
Composite material,Composite material,Composite material,9
F-MB,F-MB,F-MB,2
Fertilizers,Fertilizers,Fertilizers,13
Resource recovery,Resource recovery,Resource recovery,279
Wastewaters,Wastewaters,Wastewaters,2
analytical pyrolysis,analytical pyrolysis,analytical pyrolysis,1
biomass,biomass,biomass,100
char,char,char,7
CO<sub>2</sub> gasification,CO<sub>2</sub> gasification,CO<sub>2</sub> gasification,2
surface area,surface area,surface area,2
Aitoloakarnania,Aitoloakarnania,Aitoloakarnania,1
Cultural paths,Cultural paths,Cultural paths,1
Regional development,Regional development,Regional development,13
Bimetallic catalysts,Bimetallic catalysts,Bimetallic catalysts,2
CO<sub>2</sub> reforming of methane,CO<sub>2</sub> reforming of methane,CO<sub>2</sub> reforming of methane,1
Ni-based catalysts,Ni-based catalysts,Ni-based catalysts,1
Noble metal catalysts,Noble metal catalysts,Noble metal catalysts,1
Transition metal catalysts,Transition metal catalysts,Transition metal catalysts,1
Fertilizer substitution,Fertilizer substitution,Fertilizer substitution,3
Industrial ecology,Industrial ecology,Industrial ecology,96
Phosphorus,Phosphorus,Phosphorus,69
Struvite,Struvite,Struvite,38
Urban agriculture,Urban agriculture,Urban agriculture,18
Land application system,Land application system,Land application system,1
Nature-based solutions,Nature-based solutions,Nature-based solutions,27
Nutrients,Nutrients,Nutrients,51
Phytoremediation,Phytoremediation,Phytoremediation,23
Vegetation filters,Vegetation filters,Vegetation filters,1
Wastewater treatments,Wastewater treatments,Wastewater treatments,3
BIM,BIM,BIM,29
Blockchain,Blockchain,Blockchain,66
Built environment,Built environment,Built environment,69
Construction,Construction,Construction,67
Digital twin,Digital twin,Digital twin,15
IoT,IoT,IoT,32
Mining,Mining,Mining,37
PESTELS,PESTELS,PESTELS,1
Responsible approach to Sustainable Development,Responsible approach to Sustainable Development,Responsible approach to Sustainable Development,1
Small Towns and Peripheral Centres,Small Towns and Peripheral Centres,Small Towns and Peripheral Centres,1
Technological Advances and Digitalisation,Technological Advances and Digitalisation,Technological Advances and Digitalisation,1
Deconstruction,Deconstruction,Deconstruction,17
Design,Design,Design,33
Disassembly,Disassembly,Disassembly,29
Prefabricated construction,Prefabricated construction,Prefabricated construction,6
Resilience,Resilience,Resilience,60
informal recycling sector,informal recycling sector,informal recycling sector,2
Latin America,Latin America,Latin America,17
municipal waste management,municipal waste management,municipal waste management,5
sustainability,sustainability,sustainability,996
Fungal biopesticide,Fungal biopesticide,Fungal biopesticide,1
Multi-systems approach,Multi-systems approach,Multi-systems approach,1
Pearl millet,Pearl millet,Pearl millet,1
Antioxidants,Antioxidants,Antioxidants,33
Filamentous fungi,Filamentous fungi,Filamentous fungi,11
Lignocellulolytic enzymes,Lignocellulolytic enzymes,Lignocellulolytic enzymes,3
Calcium hydroxide,Calcium hydroxide,Calcium hydroxide,1
Calcium sulphate or sulfate (gypsum),Calcium sulphate or sulfate (gypsum),Calcium sulphate or sulfate (gypsum),1
"Phosphate (H<sub>2</sub>PO<sub>4</sub><sup>-</sup>, HPO<sub>4</sub><sup>2-</sup>, PO<sub>4</sub><sup>3-</sup>) recovery","Phosphate (H<sub>2</sub>PO<sub>4</sub><sup>-</sup>, HPO<sub>4</sub><sup>2-</sup>, PO<sub>4</sub><sup>3-</sup>) recovery","Phosphate (H<sub>2</sub>PO<sub>4</sub><sup>-</sup>, HPO<sub>4</sub><sup>2-</sup>, PO<sub>4</sub><sup>3-</sup>) recovery",1
Sustainable development goals (SDG),Sustainable development goals (SDG),Sustainable development goals (SDG),2
Wastewater treatment,Wastewater treatment,Wastewater treatment,188
Water reclamation,Water reclamation,Water reclamation,11
Policy evolving,Policy evolving,Policy evolving,1
Policy improvement,Policy improvement,Policy improvement,1
Solid waste management,Solid waste management,Solid waste management,53
Waste-free city,Waste-free city,Waste-free city,1
Market feasibility,Market feasibility,Market feasibility,1
Organic waste,Organic waste,Organic waste,53
Solid biofuels,Solid biofuels,Solid biofuels,2
Growth stimulant,Growth stimulant,Growth stimulant,1
Municipal sludge disposal,Municipal sludge disposal,Municipal sludge disposal,1
Soil amendments,Soil amendments,Soil amendments,3
Tomato foot and root rot,Tomato foot and root rot,Tomato foot and root rot,1
Eco-efficiency,Eco-efficiency,Eco-efficiency,45
Portfolio theory,Portfolio theory,Portfolio theory,1
Adsorption,Adsorption,Adsorption,175
Biogas leachate,Biogas leachate,Biogas leachate,1
Column study,Column study,Column study,3
Heavy metals,Heavy metals,Heavy metals,72
Scale-up,Scale-up,Scale-up,11
Adaptive reuse,Adaptive reuse,Adaptive reuse,37
Circular city,Circular city,Circular city,23
Cultural and creative cities,Cultural and creative cities,Cultural and creative cities,2
Europe,Europe,Europe,42
Green deal,Green deal,Green deal,15
Heritage buildings,Heritage buildings,Heritage buildings,1
Heritage economics,Heritage economics,Heritage economics,2
Urban policy,Urban policy,Urban policy,4
Manufacturing,Manufacturing,Manufacturing,44
Social organizational life cycle assessment,Social organizational life cycle assessment,Social organizational life cycle assessment,1
Social sustainability,Social sustainability,Social sustainability,22
Machine learning,Machine learning,Machine learning,98
Virtual substitution,Virtual substitution,Virtual substitution,1
Activation method,Activation method,Activation method,1
Engineered biochar,Engineered biochar,Engineered biochar,9
Physicochemical properties,Physicochemical properties,Physicochemical properties,6
Pyrolysis condition,Pyrolysis condition,Pyrolysis condition,2
Sustainable waste management,Sustainable waste management,Sustainable waste management,41
batteries,batteries,batteries,20
biomimicry,biomimicry,biomimicry,9
energy storage,energy storage,energy storage,19
wood,wood,wood,9
Green fuel,Green fuel,Green fuel,1
Chinese mining industry,Chinese mining industry,Chinese mining industry,1
Policy instruments,Policy instruments,Policy instruments,8
Policy objectives,Policy objectives,Policy objectives,2
Lipid,Lipid,Lipid,7
Polyhydroxyalkanoates (PHAs),Polyhydroxyalkanoates (PHAs),Polyhydroxyalkanoates (PHAs),2
Soil supplement,Soil supplement,Soil supplement,2
Acid mine drainage,Acid mine drainage,Acid mine drainage,11
Reclamation,Reclamation,Reclamation,5
Recovery of valuable minerals,Recovery of valuable minerals,Recovery of valuable minerals,1
Techno‐economic analysis,Techno‐economic analysis,Techno‐economic analysis,1
Treatment,Treatment,Treatment,15
Cascading,Cascading,Cascading,12
Closing the loop,Closing the loop,Closing the loop,6
Material recycling,Material recycling,Material recycling,9
Performance economy,Performance economy,Performance economy,2
Refurbishment,Refurbishment,Refurbishment,22
Remanufactur-ing,Remanufactur-ing,Remanufactur-ing,1
Repair,Repair,Repair,53
Repurpose,Repurpose,Repurpose,4
Reuse,Reuse,Reuse,222
Critical success factors,Critical success factors,Critical success factors,12
DELPHI,DELPHI,DELPHI,1
DEMATEL,DEMATEL,DEMATEL,38
Intuitionistic fuzzy,Intuitionistic fuzzy,Intuitionistic fuzzy,1
Solar photovoltaic energy ecosystem,Solar photovoltaic energy ecosystem,Solar photovoltaic energy ecosystem,1
Key performance indicators,Key performance indicators,Key performance indicators,9
Lean manufacturing,Lean manufacturing,Lean manufacturing,9
Value Stream Mapping,Value Stream Mapping,Value Stream Mapping,2
Char,Char,Char,17
Co-pyrolysis,Co-pyrolysis,Co-pyrolysis,6
Eucalyptus wood,Eucalyptus wood,Eucalyptus wood,1
Solid fuel,Solid fuel,Solid fuel,4
Waste low-density polyethylene,Waste low-density polyethylene,Waste low-density polyethylene,1
Entrepreneurship education,Entrepreneurship education,Entrepreneurship education,1
Human capital,Human capital,Human capital,7
Sustainable entrepreneurship,Sustainable entrepreneurship,Sustainable entrepreneurship,11
Besòs river area,Besòs river area,Besòs river area,1
Circular economy principles,Circular economy principles,Circular economy principles,12
Sustainable urban water management,Sustainable urban water management,Sustainable urban water management,1
Water reuse technologies,Water reuse technologies,Water reuse technologies,1
Ananas comosus,Ananas comosus,Ananas comosus,2
Biomass,Biomass,Biomass,204
Plukenetia volubilis,Plukenetia volubilis,Plukenetia volubilis,3
Viability,Viability,Viability,5
Weissella cibaria,Weissella cibaria,Weissella cibaria,1
Leaching,Leaching,Leaching,40
Materials characterization,Materials characterization,Materials characterization,1
Polyurethane resin,Polyurethane resin,Polyurethane resin,1
Rubber tiles,Rubber tiles,Rubber tiles,1
Toxicity,Toxicity,Toxicity,21
Bentonites,Bentonites,Bentonites,1
Blast furnace slag,Blast furnace slag,Blast furnace slag,6
By-products,By-products,By-products,52
Design micas,Design micas,Design micas,1
Rice husk ash,Rice husk ash,Rice husk ash,11
Aquaculture,Aquaculture,Aquaculture,45
"Circular economy, Gut microbiome","Circular economy, Gut microbiome","Circular economy, Gut microbiome",1
Insect meal,Insect meal,Insect meal,9
"Metagenome, Next-generation sequencing, Rainbow trout","Metagenome, Next-generation sequencing, Rainbow trout","Metagenome, Next-generation sequencing, Rainbow trout",1
Skin microbiome,Skin microbiome,Skin microbiome,1
Tenebrio molitor,Tenebrio molitor,Tenebrio molitor,10
Modularity,Modularity,Modularity,7
Module optimization,Module optimization,Module optimization,1
Product lifecycle,Product lifecycle,Product lifecycle,6
Product modular design,Product modular design,Product modular design,1
Annona muricata seeds,Annona muricata seeds,Annona muricata seeds,1
Antioxidant activity,Antioxidant activity,Antioxidant activity,31
Phenolic compounds,Phenolic compounds,Phenolic compounds,54
Principal component analysis,Principal component analysis,Principal component analysis,10
Subcritical water extraction,Subcritical water extraction,Subcritical water extraction,4
Supercritical fluid extraction,Supercritical fluid extraction,Supercritical fluid extraction,15
decoupling,decoupling,decoupling,8
life cycle assessment (LCA),life cycle assessment (LCA),life cycle assessment (LCA),27
material flow accounting/analysis (MFA),material flow accounting/analysis (MFA),material flow accounting/analysis (MFA),1
resource efficiency,resource efficiency,resource efficiency,69
Biogas,Biogas,Biogas,175
GHG emission,GHG emission,GHG emission,6
Tapioca starch,Tapioca starch,Tapioca starch,1
Thailand,Thailand,Thailand,16
Waste recovery,Waste recovery,Waste recovery,35
Animal Manure,Animal Manure,Animal Manure,1
Environmental Impact,Environmental Impact,Environmental Impact,4
Livestock farming,Livestock farming,Livestock farming,1
Logistic Problem,Logistic Problem,Logistic Problem,1
Optimization,Optimization,Optimization,84
Associative Behaviours,Associative Behaviours,Associative Behaviours,1
Distributed Ledger Technology,Distributed Ledger Technology,Distributed Ledger Technology,1
Information Circularity,Information Circularity,Information Circularity,1
Sustainable Business Models,Sustainable Business Models,Sustainable Business Models,1
Sustainable Shipping,Sustainable Shipping,Sustainable Shipping,1
TradeLens,TradeLens,TradeLens,1
Compositional information,Compositional information,Compositional information,1
Scrap quality,Scrap quality,Scrap quality,2
Steel,Steel,Steel,26
Agri-based circular economy,Agri-based circular economy,Agri-based circular economy,1
Bioclimatic buildings design,Bioclimatic buildings design,Bioclimatic buildings design,1
Bioplastic,Bioplastic,Bioplastic,46
Wine waste,Wine waste,Wine waste,1
In-situ composting,In-situ composting,In-situ composting,1
Organic mulch,Organic mulch,Organic mulch,2
Predatory nematodes,Predatory nematodes,Predatory nematodes,1
Surface mulching,Surface mulching,Surface mulching,1
Sustainable crop protection,Sustainable crop protection,Sustainable crop protection,1
Amphidinol,Amphidinol,Amphidinol,1
Carotenoids,Carotenoids,Carotenoids,22
Dinoflagellate,Dinoflagellate,Dinoflagellate,1
Fatty acids,Fatty acids,Fatty acids,15
Solvent partitioning,Solvent partitioning,Solvent partitioning,1
Conservation management,Conservation management,Conservation management,1
Dry land,Dry land,Dry land,1
Microbial community,Microbial community,Microbial community,22
Microbial diversity,Microbial diversity,Microbial diversity,3
Sustainable agriculture,Sustainable agriculture,Sustainable agriculture,53
Collection methods,Collection methods,Collection methods,1
Containers for e-waste,Containers for e-waste,Containers for e-waste,1
Small e-waste,Small e-waste,Small e-waste,1
Social attitude,Social attitude,Social attitude,2
Social awareness,Social awareness,Social awareness,2
Waste electrical and electronic equipment,Waste electrical and electronic equipment,Waste electrical and electronic equipment,24
WEEE,WEEE,WEEE,89
Broiler production system,Broiler production system,Broiler production system,1
Indicators,Indicators,Indicators,73
Life Cycle Assessment,Life Cycle Assessment,Life Cycle Assessment,66
Modified Material Circularity Indicator,Modified Material Circularity Indicator,Modified Material Circularity Indicator,1
expired pharmaceutical drugs,expired pharmaceutical drugs,expired pharmaceutical drugs,1
triboelectric nanogenerators,triboelectric nanogenerators,triboelectric nanogenerators,2
Mine tailings management,Mine tailings management,Mine tailings management,2
Mine water management,Mine water management,Mine water management,1
Real options,Real options,Real options,3
Water-energy nexus,Water-energy nexus,Water-energy nexus,5
Catalytic wet peroxide oxidation,Catalytic wet peroxide oxidation,Catalytic wet peroxide oxidation,1
Compost,Compost,Compost,43
Contaminants of emerging concern,Contaminants of emerging concern,Contaminants of emerging concern,9
Micropollutant,Micropollutant,Micropollutant,3
Waste valorization,Waste valorization,Waste valorization,157
Heat recovery,Heat recovery,Heat recovery,5
Heat transfer,Heat transfer,Heat transfer,1
Modelling,Modelling,Modelling,16
Sewer system,Sewer system,Sewer system,1
Temperature dynamics,Temperature dynamics,Temperature dynamics,1
eco-efficiency,eco-efficiency,eco-efficiency,15
green technology,green technology,green technology,13
mine wastes,mine wastes,mine wastes,2
technospheric mining,technospheric mining,technospheric mining,1
Bioplastics,Bioplastics,Bioplastics,47
Plant oil,Plant oil,Plant oil,1
Polyhydroxyalkanoate,Polyhydroxyalkanoate,Polyhydroxyalkanoate,8
Agri-food sector,Agri-food sector,Agri-food sector,8
Food supply chain,Food supply chain,Food supply chain,28
Value chain,Value chain,Value chain,30
Eco-friendly fertilizer,Eco-friendly fertilizer,Eco-friendly fertilizer,1
Eutrophication,Eutrophication,Eutrophication,21
Phosphorous,Phosphorous,Phosphorous,11
Struvite recovery,Struvite recovery,Struvite recovery,1
Urine,Urine,Urine,13
Eco-design,Eco-design,Eco-design,46
European Green Deal,European Green Deal,European Green Deal,32
European Union Market,European Union Market,European Union Market,1
Global market,Global market,Global market,1
Eco-industrial park (EIP),Eco-industrial park (EIP),Eco-industrial park (EIP),4
Industrial symbiosis,Industrial symbiosis,Industrial symbiosis,166
Innovative infrastructure,Innovative infrastructure,Innovative infrastructure,1
Resource efficiency,Resource efficiency,Resource efficiency,163
Secondary resources,Secondary resources,Secondary resources,9
Sustainable development,Sustainable development,Sustainable development,459
Biomass waste,Biomass waste,Biomass waste,18
Biorefinery,Biorefinery,Biorefinery,226
Circular (bio)economy,Circular (bio)economy,Circular (bio)economy,1
Clean technologies,Clean technologies,Clean technologies,4
Circular construction,Circular construction,Circular construction,31
Construction waste,Construction waste,Construction waste,20
Economic analysis,Economic analysis,Economic analysis,27
Energy evaluation,Energy evaluation,Energy evaluation,1
Forage production,Forage production,Forage production,1
Maize-wheat,Maize-wheat,Maize-wheat,1
Agri-food by-products,Agri-food by-products,Agri-food by-products,5
Construction and demolition waste,Construction and demolition waste,Construction and demolition waste,82
Energy savings,Energy savings,Energy savings,5
Recycled aggregates,Recycled aggregates,Recycled aggregates,22
Alkaline solution,Alkaline solution,Alkaline solution,2
Composite materials design,Composite materials design,Composite materials design,1
Compressive strength,Compressive strength,Compressive strength,45
Curing,Curing,Curing,2
Fly ash,Fly ash,Fly ash,54
Geopolymer concrete,Geopolymer concrete,Geopolymer concrete,14
Mix proportion,Mix proportion,Mix proportion,1
Sustainable concrete,Sustainable concrete,Sustainable concrete,10
Coprinopsis cinerea,Coprinopsis cinerea,Coprinopsis cinerea,1
laccase characteristics,laccase characteristics,laccase characteristics,1
laccase-mediator systems,laccase-mediator systems,laccase-mediator systems,1
lignin depolymerization,lignin depolymerization,lignin depolymerization,1
structural analysis,structural analysis,structural analysis,3
Allelopathy,Allelopathy,Allelopathy,2
Ferality,Ferality,Ferality,1
Herbicide-resistant rice varieties,Herbicide-resistant rice varieties,Herbicide-resistant rice varieties,1
Integrated weed management,Integrated weed management,Integrated weed management,1
Non-chemical weed management,Non-chemical weed management,Non-chemical weed management,1
Oryza sativa f. spontanea,Oryza sativa f. spontanea,Oryza sativa f. spontanea,1
bibliographic coupling,bibliographic coupling,bibliographic coupling,3
innovation,innovation,innovation,62
systematic literature review,systematic literature review,systematic literature review,40
Agavaceae,Agavaceae,Agavaceae,1
Bioeconomy,Bioeconomy,Bioeconomy,224
Green composite,Green composite,Green composite,2
Polyhydroxyalkanoates,Polyhydroxyalkanoates,Polyhydroxyalkanoates,35
Design education,Design education,Design education,9
Design for the circular economy,Design for the circular economy,Design for the circular economy,1
Sustainable design,Sustainable design,Sustainable design,30
Sustainable product design,Sustainable product design,Sustainable product design,4
Agri-food,Agri-food,Agri-food,19
Facing bricks,Facing bricks,Facing bricks,2
Global warming potential,Global warming potential,Global warming potential,14
Olive mill wastewater reuse,Olive mill wastewater reuse,Olive mill wastewater reuse,1
Case studies,Case studies,Case studies,13
Construction industry,Construction industry,Construction industry,66
Bacillus sp.,Bacillus sp.,Bacillus sp.,2
Biopolymers,Biopolymers,Biopolymers,44
Coniferous tree,Coniferous tree,Coniferous tree,1
Wood juice,Wood juice,Wood juice,2
Integrated reporting,Integrated reporting,Integrated reporting,3
Value creation,Value creation,Value creation,25
Biodrying,Biodrying,Biodrying,2
Mass balance,Mass balance,Mass balance,12
Mechanical-biological treatment,Mechanical-biological treatment,Mechanical-biological treatment,3
Municipal waste,Municipal waste,Municipal waste,36
Waste stream reduction,Waste stream reduction,Waste stream reduction,1
Biostimulants,Biostimulants,Biostimulants,11
Composite,Composite,Composite,25
Granulation,Granulation,Granulation,4
Tanning shavings,Tanning shavings,Tanning shavings,1
Waste collagen,Waste collagen,Waste collagen,1
Bio-hydrogen,Bio-hydrogen,Bio-hydrogen,3
Clostridium,Clostridium,Clostridium,3
Dark fermentative hydrogen-producing bacteria (dHPB),Dark fermentative hydrogen-producing bacteria (dHPB),Dark fermentative hydrogen-producing bacteria (dHPB),1
Reverse transcriptase quantitative PCR (RT-qPCR),Reverse transcriptase quantitative PCR (RT-qPCR),Reverse transcriptase quantitative PCR (RT-qPCR),1
[FeFe]-hydrogenase,[FeFe]-hydrogenase,[FeFe]-hydrogenase,1
Life cycle analysis,Life cycle analysis,Life cycle analysis,31
Material flow analysis,Material flow analysis,Material flow analysis,128
Plastic waste,Plastic waste,Plastic waste,164
COVID-19 impact,COVID-19 impact,COVID-19 impact,3
Sustainable development goals,Sustainable development goals,Sustainable development goals,117
Market interactions,Market interactions,Market interactions,1
Technology investment,Technology investment,Technology investment,1
Waste treatment,Waste treatment,Waste treatment,31
Dimensions of symbiosis,Dimensions of symbiosis,Dimensions of symbiosis,1
KIC4,KIC4,KIC4,2
Kwinana Industrial Area,Kwinana Industrial Area,Kwinana Industrial Area,2
Water circular economy,Water circular economy,Water circular economy,5
Bioenergy recovery,Bioenergy recovery,Bioenergy recovery,2
Hydrochar production,Hydrochar production,Hydrochar production,1
Hydrothermal carbonisation,Hydrothermal carbonisation,Hydrothermal carbonisation,4
Chemical speciation,Chemical speciation,Chemical speciation,2
Gas emission,Gas emission,Gas emission,4
Migrations,Migrations,Migrations,1
Textile dyeing sludge,Textile dyeing sludge,Textile dyeing sludge,3
SCOR,SCOR,SCOR,3
Supply chain business processes,Supply chain business processes,Supply chain business processes,2
Positive energy districts,Positive energy districts,Positive energy districts,1
Sustainable districts,Sustainable districts,Sustainable districts,1
Multicriteria decision-making,Multicriteria decision-making,Multicriteria decision-making,2
Bibliometric analysis,Bibliometric analysis,Bibliometric analysis,98
Municipal wastewater,Municipal wastewater,Municipal wastewater,9
Mixed Methods Research,Mixed Methods Research,Mixed Methods Research,1
Organizational support,Organizational support,Organizational support,1
Pro-environmental behavior,Pro-environmental behavior,Pro-environmental behavior,8
Recycling at home,Recycling at home,Recycling at home,1
Recycling at work,Recycling at work,Recycling at work,1
Structural Equation Modeling (SEM),Structural Equation Modeling (SEM),Structural Equation Modeling (SEM),1
Urban mining,Urban mining,Urban mining,60
Coffee supply chain,Coffee supply chain,Coffee supply chain,2
Multi-objective optimization,Multi-objective optimization,Multi-objective optimization,20
Resource-Task-Network,Resource-Task-Network,Resource-Task-Network,1
Superstructure optimization,Superstructure optimization,Superstructure optimization,1
Agent-based modelling,Agent-based modelling,Agent-based modelling,2
Business model experimentation,Business model experimentation,Business model experimentation,4
Industrial symbiosis networks,Industrial symbiosis networks,Industrial symbiosis networks,4
biomaterials,biomaterials,biomaterials,16
mechanical properties,mechanical properties,mechanical properties,74
photopolymerization,photopolymerization,photopolymerization,4
resins,resins,resins,1
spectroscopy,spectroscopy,spectroscopy,6
10R principles,10R principles,10R principles,1
Cities,Cities,Cities,23
Evidence mapping,Evidence mapping,Evidence mapping,1
Urban transitions,Urban transitions,Urban transitions,3
apple by-product,apple by-product,apple by-product,1
Fructilactobacillus florum,Fructilactobacillus florum,Fructilactobacillus florum,1
Saccharomyces cerevisiae,Saccharomyces cerevisiae,Saccharomyces cerevisiae,14
waste management,waste management,waste management,341
wheat flour,wheat flour,wheat flour,2
Developing country,Developing country,Developing country,10
Urban development,Urban development,Urban development,10
Waste disposal,Waste disposal,Waste disposal,12
Waste reuse,Waste reuse,Waste reuse,10
Copper slag,Copper slag,Copper slag,5
Heavy metal,Heavy metal,Heavy metal,16
Hydrometallurgy,Hydrometallurgy,Hydrometallurgy,38
Mineralogy,Mineralogy,Mineralogy,6
Pyrometallurgy,Pyrometallurgy,Pyrometallurgy,16
Socioeconomic impact,Socioeconomic impact,Socioeconomic impact,2
Clay,Clay,Clay,5
Irrigation water,Irrigation water,Irrigation water,4
Magnetic nanoparticles,Magnetic nanoparticles,Magnetic nanoparticles,2
Wastewater reuse,Wastewater reuse,Wastewater reuse,19
Black soldier fly larvae,Black soldier fly larvae,Black soldier fly larvae,8
Lates calcarifer,Lates calcarifer,Lates calcarifer,2
Microbiota,Microbiota,Microbiota,7
Mucin cells,Mucin cells,Mucin cells,1
