pair_id,stratum,gold_label,pred_full_dag,pred_b6,error_category,b6_error_category,confidence,guard_applied
BP0197,ix,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.85,
BP0303,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0438,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0055,ii,non_match,non_match,non_match,TN,TN,0.95,
BP0437,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0454,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0170,iv,match,match,match,TP,TP,0.99,
BP0204,ix,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0449,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0088,iii,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0298,vi,match,non_match,match,FN,TP,0.75,
BP0153,iv,match,match,match,TP,TP,0.98,
BP0379,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0019,i,match,match,match,TP,TP,0.99,
BP0080,ii,non_match,non_match,non_match,TN,TN,0.92,
BP0106,iii,match,match,match,TP,TP,0.95,
BP0281,vi,non_match,non_match,non_match,TN,TN,0.95,
BP0008,i,match,match,match,TP,TP,0.99,
BP0113,iii,match,match,match,TP,TP,0.95,
BP0038,i,match,match,match,TP,TP,0.99,
BP0456,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0209,ix,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.3,
BP0213,ix,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.85,
BP0401,viii,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0465,x,non_match,non_match,non_match,TN,TN,0.95,
BP0473,x,non_match,non_match,non_match,TN,TN,0.85,
BP0172,iv,match,match,match,TP,TP,0.95,
BP0129,iii,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.3,
BP0246,v,match,match,match,TP,TP,0.95,
BP0355,vii,non_match,non_match,non_match,TN,TN,0.85,
BP0397,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0251,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0370,vii,non_match,non_match,match,TN,FP,0.85,
BP0400,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0035,i,match,match,match,TP,TP,0.99,
BP0095,iii,uncertain,non_match,match,Missed_Abstention,Missed_Abstention,0.95,
BP0133,iii,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.35,
BP0099,iii,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.3,
BP0404,viii,non_match,non_match,non_match,TN,TN,0.99,
BP0475,x,non_match,non_match,non_match,TN,TN,0.95,
BP0353,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0239,v,match,match,match,TP,TP,0.95,
BP0021,i,match,match,match,TP,TP,0.99,
BP0226,v,match,match,match,TP,TP,0.95,
BP0329,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0276,vi,non_match,non_match,non_match,TN,TN,0.95,
BP0053,ii,non_match,non_match,non_match,TN,TN,0.99,
BP0374,vii,non_match,non_match,match,TN,FP,0.75,
BP0050,ii,non_match,non_match,non_match,TN,TN,0.85,
BP0147,iv,match,match,match,TP,TP,0.95,
BP0390,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0042,ii,non_match,non_match,non_match,TN,TN,0.85,
BP0208,ix,uncertain,uncertain,non_match,Correct_Abstention,Missed_Abstention,0.3,
BP0098,iii,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.3,
BP0247,v,match,match,match,TP,TP,0.95,
BP0344,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0292,vi,non_match,non_match,non_match,TN,TN,0.95,
BP0195,ix,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0069,ii,non_match,non_match,non_match,TN,TN,0.85,
BP0104,iii,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.45,
BP0067,ii,non_match,non_match,non_match,TN,TN,0.95,
BP0059,ii,non_match,non_match,non_match,TN,TN,0.85,
BP0004,i,match,match,match,TP,TP,0.99,
BP0011,i,match,match,match,TP,TP,0.99,
BP0354,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0200,ix,uncertain,uncertain,non_match,Correct_Abstention,Missed_Abstention,0.3,
BP0442,viii,match,match,match,TP,TP,0.99,
BP0429,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0039,i,match,match,match,TP,TP,0.99,
BP0285,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0417,viii,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0257,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0087,iii,match,match,match,TP,TP,0.95,
BP0499,x,non_match,non_match,non_match,TN,TN,0.95,
BP0048,ii,non_match,non_match,non_match,TN,TN,0.92,
BP0311,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0448,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0480,x,non_match,non_match,non_match,TN,TN,0.95,
BP0324,vi,non_match,match,match,FP,FP,0.95,
BP0179,iv,match,match,non_match,TP,FN,0.95,
BP0389,vii,non_match,non_match,non_match,TN,TN,0.85,
BP0387,vii,non_match,non_match,non_match,TN,TN,0.95,
BP0023,i,match,match,match,TP,TP,0.99,
BP0477,x,non_match,non_match,non_match,TN,TN,0.85,
BP0086,iii,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.35,
BP0402,viii,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0300,vi,non_match,non_match,non_match,TN,TN,0.95,
BP0463,x,non_match,non_match,non_match,TN,TN,0.95,
BP0155,iv,match,match,uncertain,TP,Incorrect_Abstention,0.95,
BP0212,ix,uncertain,match,match,Missed_Abstention,Missed_Abstention,0.95,
BP0342,vii,non_match,non_match,match,TN,FP,0.85,
BP0308,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0206,ix,uncertain,uncertain,non_match,Correct_Abstention,Missed_Abstention,0.3,
BP0436,viii,non_match,non_match,non_match,TN,TN,0.85,
BP0169,iv,match,match,match,TP,TP,0.99,
BP0137,iii,match,match,match,TP,TP,0.95,
BP0221,v,match,match,match,TP,TP,0.95,
BP0180,iv,match,match,match,TP,TP,0.95,
BP0321,vi,non_match,non_match,non_match,TN,TN,0.95,
BP0127,iii,uncertain,uncertain,match,Correct_Abstention,Missed_Abstention,0.35,
BP0177,iv,match,match,match,TP,TP,0.99,
BP0280,vi,non_match,non_match,non_match,TN,TN,0.85,
BP0015,i,match,match,match,TP,TP,0.99,
BP0450,viii,non_match,non_match,non_match,TN,TN,0.95,
BP0033,i,match,match,match,TP,TP,0.99,
BP0219,v,match,match,match,TP,TP,0.99,
BP0044,ii,non_match,non_match,non_match,TN,TN,0.85,
BP0215,ix,uncertain,non_match,non_match,Missed_Abstention,Missed_Abstention,0.95,
BP0273,vi,non_match,non_match,non_match,TN,TN,0.75,
BP0024,i,match,match,match,TP,TP,0.99,
BP0066,ii,non_match,non_match,non_match,TN,TN,0.75,
